case,Activity,startTime,completeTime,org:resource,fixedCost
17,take classes,2022/6/28 18:05:39,2022/6/28 18:44:10,Zuri,60
17,examine,2022/6/30 18:48:01,2022/6/30 19:48:51,Wash,90
17,pass,2022/6/30 20:15:05,2022/6/30 21:29:43,Lafeu,80
189,publish courses,2022/7/5 19:13:32,2022/7/5 19:20:47,Timea,40
189,select courses,2022/7/11 17:07:05,2022/7/11 17:35:18,Ailill,30
189,select courses,2022/7/11 18:07:05,2022/7/11 19:35:18,Ailill,30
189,take classes,2022/7/12 23:10:02,2022/7/12 23:48:16,Zuri,60
189,examine,2022/8/15 22:00:38,2022/8/15 23:33:04,Wash,90
189,pass,2022/8/15 23:33:04,2022/8/16 0:38:04,Lafeu,80
167,publish courses,2022/7/4 21:33:21,2022/7/4 21:40:42,Timea,40
167,select courses,2022/7/7 23:55:59,2022/7/8 0:25:05,Ailill,30
167,take classes,2022/7/11 19:43:38,2022/7/11 20:11:53,Zuri,60
167,examine,2022/8/9 19:13:38,2022/8/9 21:09:44,Wash,90
167,pass,2022/8/9 21:09:44,2022/8/9 22:34:46,Lafeu,80
188,publish courses,2022/7/5 18:55:05,2022/7/5 19:03:15,Timea,40
188,select courses,2022/7/9 0:44:15,2022/7/11 17:07:05,Ailill,30
188,select courses,2022/7/11 17:10:05,2022/7/11 17:27:05,Ailill,30
188,pay a fee,2022/7/11 21:23:33,2022/7/11 21:36:39,Timea,70
188,take classes,2022/7/12 22:31:26,2022/7/12 23:10:02,Zuri,60
188,examine,2022/8/15 20:10:04,2022/8/15 22:00:38,Wash,90
188,pass,2022/8/15 22:00:38,2022/8/15 23:20:39,Lafeu,80
280,publish courses,2022/7/8 19:17:19,2022/7/8 19:26:25,Timea,40
280,select courses,2022/7/15 23:02:55,2022/7/15 23:27:45,Ailill,30
280,select courses,2022/7/15 23:28:45,2022/7/15 23:47:45,Ailill,30
280,pay a fee,2022/7/18 22:05:30,2022/7/18 22:15:40,Timea,70
280,take classes,2022/7/20 20:06:52,2022/7/20 20:29:37,Zuri,60
280,examine,2022/9/7 20:23:24,2022/9/7 22:12:16,Wash,90
280,pass,2022/9/7 22:12:16,2022/9/7 23:27:11,Lafeu,80
185,publish courses,2022/7/5 18:08:26,2022/7/5 18:17:53,Timea,40
185,select courses,2022/7/8 23:24:27,2022/7/8 23:52:22,Ailill,30
185,pay a fee,2022/7/11 20:06:54,2022/7/11 20:17:02,Timea,70
185,take classes,2022/7/12 20:56:06,2022/7/12 21:19:27,Zuri,60
185,examine,2022/8/12 23:45:03,2022/8/15 17:19:41,Wash,90
185,pass,2022/8/15 17:19:41,2022/8/15 18:26:12,Lafeu,80
163,publish courses,2022/7/4 20:25:22,2022/7/4 20:34:43,Timea,40
163,select courses,2022/7/7 22:25:41,2022/7/7 22:46:09,Ailill,30
163,select courses,2022/7/7 22:47:09,2022/7/7 22:56:09,Ailill,30
163,pay a fee,2022/7/8 18:25:02,2022/7/8 18:39:04,Timea,70
163,take classes,2022/7/11 17:57:50,2022/7/11 18:24:41,Zuri,60
163,examine,2022/8/8 20:46:27,2022/8/8 22:19:42,Wash,90
163,pass,2022/8/8 22:19:42,2022/8/8 23:47:46,Lafeu,80
164,publish courses,2022/7/4 20:44:53,2022/7/4 20:54:29,Timea,40
164,select courses,2022/7/7 22:46:09,2022/7/7 23:09:49,Ailill,30
164,select courses,2022/7/7 23:10:49,2022/7/7 23:19:49,Ailill,30
164,pay a fee,2022/7/8 18:57:29,2022/7/8 19:08:33,Timea,70
164,take classes,2022/7/11 18:24:41,2022/7/11 18:56:17,Zuri,60
164,examine,2022/8/8 22:19:42,2022/8/9 0:05:48,Wash,90
164,pass,2022/8/9 0:05:48,2022/8/9 17:21:10,Lafeu,80
284,publish courses,2022/7/8 20:29:36,2022/7/8 20:37:25,Timea,40
284,select courses,2022/7/16 0:46:22,2022/7/18 17:09:56,Ailill,30
284,pay a fee,2022/7/18 23:53:07,2022/7/19 0:05:31,Timea,70
284,take classes,2022/7/20 21:57:34,2022/7/20 22:26:00,Zuri,60
284,examine,2022/9/8 19:00:28,2022/9/8 20:05:53,Wash,90
284,pass,2022/9/8 20:17:04,2022/9/8 21:41:25,Lafeu,80
285,publish courses,2022/7/8 20:49:33,2022/7/8 20:58:09,Timea,40
285,select courses,2022/7/18 17:09:56,2022/7/18 17:33:23,Ailill,30
285,pay a fee,2022/7/19 0:22:09,2022/7/19 0:33:42,Timea,70
285,take classes,2022/7/20 22:26:00,2022/7/20 22:49:08,Zuri,60
285,examine,2022/9/8 20:05:53,2022/9/8 22:02:53,Wash,90
285,pass,2022/9/8 22:02:53,2022/9/8 23:31:02,Lafeu,80
13,publish courses,2022/6/27 20:51:40,2022/6/27 21:00:07,Timea,40
13,select courses,2022/6/27 22:48:29,2022/6/27 23:17:38,Ailill,30
13,select courses,2022/6/27 23:18:38,2022/6/27 23:29:38,Ailill,30
13,pay a fee,2022/6/27 23:35:27,2022/6/27 23:48:39,Timea,70
13,take classes,2022/6/27 23:47:09,2022/6/28 0:26:44,Zuri,60
13,examine,2022/6/29 20:23:51,2022/6/29 22:11:44,Wash,90
13,pass,2022/6/29 22:11:44,2022/6/29 23:33:45,Lafeu,80
34,publish courses,2022/6/28 18:31:34,2022/6/28 18:39:30,Timea,40
34,select courses,2022/6/29 0:02:45,2022/6/29 0:31:08,Ailill,30
34,pay a fee,2022/6/29 17:23:05,2022/6/29 17:34:41,Timea,70
34,take classes,2022/6/29 17:59:37,2022/6/29 18:32:38,Zuri,60
34,examine,2022/7/5 21:18:25,2022/7/5 22:46:33,Wash,90
34,pass,2022/7/5 22:46:33,2022/7/5 23:49:30,Lafeu,80
12,publish courses,2022/6/27 20:44:06,2022/6/27 20:51:40,Timea,40
12,select courses,2022/6/27 22:20:45,2022/6/27 22:48:29,Ailill,30
12,pay a fee,2022/6/27 23:03:35,2022/6/27 23:18:06,Timea,70
12,take classes,2022/6/27 23:18:14,2022/6/27 23:47:09,Zuri,60
12,examine,2022/6/29 18:36:15,2022/6/29 20:23:51,Wash,90
12,pass,2022/6/29 20:23:51,2022/6/29 21:33:46,Lafeu,80
281,publish courses,2022/7/8 19:37:56,2022/7/8 19:47:50,Timea,40
281,select courses,2022/7/15 23:27:45,2022/7/15 23:55:38,Ailill,30
281,pay a fee,2022/7/18 22:33:02,2022/7/18 22:45:53,Timea,70
281,take classes,2022/7/20 20:29:37,2022/7/20 21:05:58,Zuri,60
281,examine,2022/9/7 22:12:16,2022/9/7 23:46:39,Wash,90
281,pass,2022/9/7 23:46:39,2022/9/8 17:14:45,Lafeu,80
33,publish courses,2022/6/28 18:08:29,2022/6/28 18:16:46,Timea,40
33,select courses,2022/6/28 23:33:01,2022/6/29 0:02:45,Ailill,30
33,pay a fee,2022/6/29 17:00:15,2022/6/29 17:13:14,Timea,70
33,take classes,2022/6/29 17:38:24,2022/6/29 17:59:37,Zuri,60
33,examine,2022/7/5 19:57:01,2022/7/5 21:18:25,Wash,90
33,pass,2022/7/5 21:18:25,2022/7/5 22:20:20,Lafeu,80
168,publish courses,2022/7/4 21:53:47,2022/7/4 22:01:44,Timea,40
168,select courses,2022/7/8 0:25:05,2022/7/8 0:50:47,Ailill,30
168,pay a fee,2022/7/8 20:37:25,2022/7/8 20:49:33,Timea,70
168,take classes,2022/7/11 20:11:53,2022/7/11 20:46:29,Zuri,60
168,examine,2022/8/9 21:09:44,2022/8/9 22:51:04,Wash,90
168,pass,2022/8/9 22:51:04,2022/8/10 0:18:09,Lafeu,80
391,publish courses,2022/7/14 17:31:34,2022/7/14 17:39:05,Timea,40
391,select courses,2022/7/25 21:13:38,2022/7/25 21:38:53,Ailill,30
391,select courses,2022/7/25 21:40:53,2022/7/25 21:48:53,Ailill,30
391,pay a fee,2022/7/26 22:51:07,2022/7/26 23:02:25,Timea,70
391,take classes,2022/7/29 18:11:34,2022/7/29 18:47:09,Zuri,60
391,examine,2022/10/6 17:11:43,2022/10/6 18:37:43,Wash,90
391,pass,2022/10/6 18:39:55,2022/10/6 20:01:12,Lafeu,80
40,publish courses,2022/6/28 19:58:22,2022/6/28 20:07:47,Timea,40
40,select courses,2022/6/29 18:27:49,2022/6/29 18:54:31,Ailill,30
40,select courses,2022/6/29 18:55:31,2022/6/29 19:04:31,Ailill,30
40,pay a fee,2022/6/29 19:55:41,2022/6/29 20:08:33,Timea,70
40,take classes,2022/6/29 21:19:56,2022/6/29 21:40:43,Zuri,60
40,examine,2022/7/6 20:55:20,2022/7/6 22:14:00,Wash,90
40,pass,2022/7/6 22:14:00,2022/7/6 23:32:49,Lafeu,80
48,publish courses,2022/6/28 21:58:05,2022/6/28 22:07:58,Timea,40
48,select courses,2022/6/29 21:51:27,2022/6/29 22:13:46,Ailill,30
48,pay a fee,2022/6/29 23:39:38,2022/6/29 23:49:42,Timea,70
48,take classes,2022/6/30 17:25:21,2022/6/30 17:52:17,Zuri,60
48,examine,2022/7/8 0:39:18,2022/7/8 17:50:46,Wash,90
48,retake the course,2022/7/8 17:50:46,2022/7/8 18:14:10,Macy,100
278,publish courses,2022/7/8 18:47:51,2022/7/8 18:57:29,Timea,40
278,select courses,2022/7/15 22:20:05,2022/7/15 22:40:29,Ailill,30
278,select courses,2022/7/15 22:41:29,2022/7/15 22:52:29,Ailill,30
278,pay a fee,2022/7/18 21:12:18,2022/7/18 21:26:21,Timea,70
278,take classes,2022/7/20 19:12:06,2022/7/20 19:38:48,Zuri,60
278,examine,2022/9/7 17:53:44,2022/9/7 19:08:05,Wash,90
278,pass,2022/9/7 19:16:41,2022/9/7 20:37:31,Lafeu,80
395,publish courses,2022/7/14 18:34:40,2022/7/14 18:42:03,Timea,40
395,select courses,2022/7/25 22:55:51,2022/7/25 23:17:56,Ailill,30
395,select courses,2022/7/25 23:18:56,2022/7/25 23:27:56,Ailill,30
395,pay a fee,2022/7/27 0:46:43,2022/7/27 17:00:44,Timea,70
395,take classes,2022/7/29 20:18:46,2022/7/29 20:58:09,Zuri,60
395,examine,2022/10/6 23:26:58,2022/10/7 0:30:07,Wash,90
395,pass,2022/10/7 0:46:24,2022/10/7 17:52:15,Lafeu,80
160,publish courses,2022/7/4 19:51:12,2022/7/4 19:59:53,Timea,40
160,select courses,2022/7/7 21:10:26,2022/7/7 21:32:35,Ailill,30
160,select courses,2022/7/7 21:33:35,2022/7/7 21:45:35,Ailill,30
160,pay a fee,2022/7/8 0:59:00,2022/7/8 17:13:57,Timea,70
160,take classes,2022/7/9 0:19:48,2022/7/9 0:47:02,Zuri,60
160,examine,2022/8/8 17:21:32,2022/8/8 18:28:44,Wash,90
160,pass,2022/8/8 18:30:51,2022/8/8 19:47:49,Lafeu,80
388,publish courses,2022/7/14 0:40:49,2022/7/14 0:50:44,Timea,40
388,select courses,2022/7/25 20:03:17,2022/7/25 20:23:51,Ailill,30
388,pay a fee,2022/7/26 21:27:11,2022/7/26 21:38:29,Timea,70
388,take classes,2022/7/29 0:38:44,2022/7/29 17:13:33,Zuri,60
388,examine,2022/10/5 21:20:24,2022/10/5 22:47:10,Wash,90
388,pass,2022/10/5 22:47:10,2022/10/5 23:56:43,Lafeu,80
399,publish courses,2022/7/14 19:32:43,2022/7/14 19:40:00,Timea,40
399,select courses,2022/7/26 0:30:50,2022/7/26 0:59:18,Ailill,30
399,pay a fee,2022/7/27 18:31:50,2022/7/27 18:44:36,Timea,70
399,take classes,2022/7/29 22:24:50,2022/7/29 22:57:14,Zuri,60
399,examine,2022/10/7 20:47:12,2022/10/7 21:51:18,Wash,90
399,pass,2022/10/7 21:51:18,2022/10/7 23:09:36,Lafeu,80
170,publish courses,2022/7/4 22:24:44,2022/7/4 22:32:24,Timea,40
170,select courses,2022/7/8 17:17:11,2022/7/8 17:40:57,Ailill,30
170,pay a fee,2022/7/8 21:29:10,2022/7/8 21:42:21,Timea,70
170,take classes,2022/7/11 21:19:31,2022/7/11 21:49:26,Zuri,60
170,examine,2022/8/10 0:48:24,2022/8/10 18:25:46,Wash,90
170,pass,2022/8/10 18:25:46,2022/8/10 19:26:42,Lafeu,80
191,publish courses,2022/7/5 19:40:59,2022/7/5 19:48:35,Timea,40
191,select courses,2022/7/11 17:55:49,2022/7/11 18:18:29,Ailill,30
191,select courses,2022/7/11 18:22:29,2022/7/11 18:40:29,Ailill,30
191,pay a fee,2022/7/11 22:33:37,2022/7/11 22:45:27,Timea,70
191,take classes,2022/7/13 0:19:08,2022/7/13 0:52:47,Zuri,60
191,examine,2022/8/16 0:49:57,2022/8/16 17:51:12,Wash,90
191,retake the course,2022/8/16 17:51:12,2022/8/16 18:14:58,Macy,100
195,publish courses,2022/7/5 20:47:25,2022/7/5 20:56:34,Timea,40
195,select courses,2022/7/11 19:28:37,2022/7/11 19:58:17,Ailill,30
195,pay a fee,2022/7/12 0:21:11,2022/7/12 0:36:07,Timea,70
195,take classes,2022/7/13 18:17:27,2022/7/13 18:39:54,Zuri,60
195,examine,2022/8/16 21:56:12,2022/8/16 23:30:37,Wash,90
195,pass,2022/8/16 23:30:37,2022/8/17 0:50:54,Lafeu,80
178,publish courses,2022/7/5 0:16:20,2022/7/5 0:25:02,Timea,40
178,select courses,2022/7/8 20:36:53,2022/7/8 21:00:00,Ailill,30
178,select courses,2022/7/8 21:05:00,2022/7/8 21:16:00,Ailill,30
178,pay a fee,2022/7/11 17:12:19,2022/7/11 17:23:42,Timea,70
178,take classes,2022/7/12 17:20:46,2022/7/12 17:48:33,Zuri,60
178,examine,2022/8/11 21:46:01,2022/8/11 23:38:00,Wash,90
178,pass,2022/8/11 23:38:00,2022/8/12 0:46:43,Lafeu,80
199,publish courses,2022/7/5 21:46:10,2022/7/5 21:55:31,Timea,40
199,select courses,2022/7/11 21:17:23,2022/7/11 21:38:24,Ailill,30
199,select courses,2022/7/11 21:40:24,2022/7/11 21:48:24,Ailill,30
199,pay a fee,2022/7/12 18:11:50,2022/7/12 18:26:00,Timea,70
199,take classes,2022/7/13 20:22:08,2022/7/13 20:51:40,Zuri,60
199,examine,2022/8/17 19:42:21,2022/8/17 21:39:26,Wash,90
199,pass,2022/8/17 21:39:26,2022/8/17 23:04:41,Lafeu,80
291,publish courses,2022/7/8 22:36:34,2022/7/8 22:44:53,Timea,40
291,select courses,2022/7/18 19:39:00,2022/7/18 20:06:57,Ailill,30
291,select courses,2022/7/18 20:07:57,2022/7/18 20:16:57,Ailill,30
291,pay a fee,2022/7/19 18:54:26,2022/7/19 19:06:23,Timea,70
291,take classes,2022/7/21 17:09:30,2022/7/21 17:36:20,Zuri,60
291,examine,2022/9/9 21:29:22,2022/9/9 22:50:49,Wash,90
291,pass,2022/9/9 22:50:49,2022/9/10 0:15:28,Lafeu,80
174,publish courses,2022/7/4 23:21:22,2022/7/4 23:30:43,Timea,40
174,select courses,2022/7/8 18:54:30,2022/7/8 19:15:50,Ailill,30
174,pay a fee,2022/7/8 23:13:50,2022/7/8 23:25:00,Timea,70
174,take classes,2022/7/11 23:04:32,2022/7/11 23:43:07,Zuri,60
174,examine,2022/8/10 22:53:21,2022/8/11 0:10:11,Wash,90
174,pass,2022/8/11 0:13:26,2022/8/11 17:16:03,Lafeu,80
153,publish courses,2022/7/4 17:47:38,2022/7/4 17:55:00,Timea,40
153,select courses,2022/7/7 18:08:34,2022/7/7 18:37:48,Ailill,30
153,pay a fee,2022/7/7 22:07:15,2022/7/7 22:18:34,Timea,70
153,take classes,2022/7/8 20:49:52,2022/7/8 21:23:09,Zuri,60
153,examine,2022/8/4 22:18:28,2022/8/5 0:17:01,Wash,90
153,pass,2022/8/5 0:17:01,2022/8/5 17:22:09,Lafeu,80
274,publish courses,2022/7/8 17:45:27,2022/7/8 17:54:38,Timea,40
274,select courses,2022/7/15 20:35:02,2022/7/15 21:03:21,Ailill,30
274,pay a fee,2022/7/18 19:20:28,2022/7/18 19:31:38,Timea,70
274,take classes,2022/7/20 0:52:37,2022/7/20 17:29:58,Zuri,60
274,examine,2022/9/6 20:06:54,2022/9/6 21:29:03,Wash,90
274,pass,2022/9/6 21:29:03,2022/9/6 22:50:44,Lafeu,80
295,publish courses,2022/7/8 23:33:17,2022/7/8 23:40:54,Timea,40
295,select courses,2022/7/18 21:20:38,2022/7/18 21:46:09,Ailill,30
295,select courses,2022/7/18 21:48:09,2022/7/18 21:46:09,Ailill,30
295,pay a fee,2022/7/19 20:41:32,2022/7/19 20:55:19,Timea,70
295,take classes,2022/7/21 19:11:46,2022/7/21 19:46:11,Zuri,60
295,examine,2022/9/12 19:40:16,2022/9/12 20:51:33,Wash,90
295,pass,2022/9/12 20:51:33,2022/9/12 21:55:34,Lafeu,80
44,publish courses,2022/6/28 21:00:37,2022/6/28 21:08:16,Timea,40
44,select courses,2022/6/29 20:10:34,2022/6/29 20:37:47,Ailill,30
44,pay a fee,2022/6/29 21:56:50,2022/6/29 22:10:07,Timea,70
44,take classes,2022/6/29 23:17:02,2022/6/29 23:51:44,Zuri,60
44,examine,2022/7/7 19:16:30,2022/7/7 20:19:21,Wash,90
44,retake the course,2022/7/7 20:19:21,2022/7/7 20:39:27,Keysha,100
23,publish courses,2022/6/27 23:25:54,2022/6/27 23:35:27,Timea,40
23,select courses,2022/6/28 19:16:16,2022/6/28 19:42:47,Ailill,30
23,pay a fee,2022/6/28 20:16:44,2022/6/28 20:29:51,Timea,70
23,take classes,2022/6/28 20:56:14,2022/6/28 21:19:38,Zuri,60
23,examine,2022/7/1 20:15:13,2022/7/1 21:42:23,Wash,90
23,retake the course,2022/7/1 21:42:23,2022/7/1 22:05:45,Keysha,100
270,publish courses,2022/7/8 0:27:50,2022/7/8 0:36:48,Timea,40
270,select courses,2022/7/15 18:56:33,2022/7/15 19:17:04,Ailill,30
270,pay a fee,2022/7/18 17:34:41,2022/7/18 17:47:38,Timea,70
270,take classes,2022/7/19 23:04:32,2022/7/19 23:28:18,Zuri,60
270,examine,2022/9/5 21:51:27,2022/9/5 23:36:09,Wash,90
270,pass,2022/9/5 23:36:09,2022/9/6 0:53:43,Lafeu,80
157,publish courses,2022/7/4 19:00:39,2022/7/4 19:10:32,Timea,40
157,select courses,2022/7/7 19:54:20,2022/7/7 20:16:17,Ailill,30
157,pay a fee,2022/7/7 23:47:11,2022/7/7 23:57:54,Timea,70
157,take classes,2022/7/8 22:42:26,2022/7/8 23:10:56,Zuri,60
157,examine,2022/8/5 20:29:46,2022/8/5 21:47:18,Wash,90
157,pass,2022/8/5 22:07:05,2022/8/5 23:27:27,Lafeu,80
60,publish courses,2022/6/29 0:53:00,2022/6/29 17:00:15,Timea,40
60,select courses,2022/6/30 19:01:40,2022/6/30 19:29:56,Ailill,30
60,pay a fee,2022/6/30 20:58:03,2022/6/30 21:13:03,Timea,70
60,take classes,2022/6/30 23:12:16,2022/6/30 23:33:10,Zuri,60
60,examine,2022/7/12 18:24:44,2022/7/12 20:16:57,Wash,90
60,pass,2022/7/12 20:16:57,2022/7/12 21:29:10,Lafeu,80
370,publish courses,2022/7/13 19:38:45,2022/7/13 19:46:44,Timea,40
370,select courses,2022/7/22 20:30:20,2022/7/22 20:58:13,Ailill,30
370,pay a fee,2022/7/25 21:09:51,2022/7/25 21:23:07,Timea,70
370,take classes,2022/7/28 0:06:20,2022/7/28 0:41:25,Zuri,60
370,examine,2022/9/30 18:23:08,2022/9/30 19:29:09,Wash,90
370,pass,2022/9/30 19:49:20,2022/9/30 20:51:25,Lafeu,80
259,publish courses,2022/7/7 21:29:47,2022/7/7 21:38:11,Timea,40
259,select courses,2022/7/14 22:18:21,2022/7/14 22:45:48,Ailill,30
259,pay a fee,2022/7/15 20:41:26,2022/7/15 20:53:20,Timea,70
259,take classes,2022/7/19 17:31:58,2022/7/19 18:06:23,Zuri,60
259,examine,2022/9/1 22:31:20,2022/9/1 23:46:22,Wash,90
259,pass,2022/9/1 23:46:22,2022/9/2 17:06:38,Lafeu,80
254,publish courses,2022/7/7 20:04:52,2022/7/7 20:14:16,Timea,40
254,select courses,2022/7/14 20:13:23,2022/7/14 20:38:47,Ailill,30
254,pay a fee,2022/7/15 18:30:44,2022/7/15 18:44:04,Timea,70
254,take classes,2022/7/18 23:10:58,2022/7/18 23:32:21,Zuri,60
254,examine,2022/8/31 21:59:25,2022/8/31 23:44:24,Wash,90
