CASEID,RESOURCE,ROUND,EVENTID,ACTIVITY,STAGE,START,END,VIDEOSTART,VIDEOEND
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301939311,Puncture,Venous puncture,10/11/2018 23:15:20,10/11/2018 23:17:36,920,1056
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539301963844,Ultrasound configuration,Ultrasound Preparation,10/11/2018 23:15:45,10/11/2018 23:16:04,945,964
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302077785,Blood return,Venous puncture,10/11/2018 23:17:39,10/11/2018 23:17:39,1059,1059
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302084048,Drop probe,Install Guidewire,10/11/2018 23:17:45,10/11/2018 23:17:45,1065,1065
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302087496,Remove syringe,Install Guidewire,10/11/2018 23:17:48,10/11/2018 23:17:48,1068,1068
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302102889,Guidewire install,Install Guidewire,10/11/2018 23:18:04,10/11/2018 23:18:18,1084,1098
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302127075,Check wire in short axis,Install Guidewire,10/11/2018 23:18:28,10/11/2018 23:18:31,1108,1111
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302145843,Check wire in long axis,Install Guidewire,10/11/2018 23:18:47,10/11/2018 23:18:47,1127,1127
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302161655,Remove trocar,Install Guidewire,10/11/2018 23:19:02,10/11/2018 23:19:08,1142,1148
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302177557,Check wire in short axis,Install Guidewire,10/11/2018 23:19:18,10/11/2018 23:19:32,1158,1172
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302192667,Check wire in long axis,Install Guidewire,10/11/2018 23:19:33,10/11/2018 23:20:00,1173,1200
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302230084,Widen pathway,Install Catheter,10/11/2018 23:20:11,10/11/2018 23:20:39,1211,1239
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302267699,Advance catheter,Install Catheter,10/11/2018 23:20:48,10/11/2018 23:22:15,1248,1335
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302354734,Remove guidewire,Install Catheter,10/11/2018 23:22:15,10/11/2018 23:22:17,1335,1337
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302360872,Check flow and reflow,Install Catheter,10/11/2018 23:22:22,10/11/2018 23:22:39,1342,1359
1539302414925-video_1.3_CVC,R_13_1C,Pre,1539302393311,Check catheter position,Install Catheter,10/11/2018 23:22:54,10/11/2018 23:22:54,1374,1374
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302666960,Get in sterile clothes,Operator and Patient Preparation,10/12/2018 0:00:56,10/12/2018 0:01:13,56,73
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302685533,Hand washing,Operator and Patient Preparation,10/12/2018 0:01:14,10/12/2018 0:01:35,74,95
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302714063,Position patient,Locate Structures,10/12/2018 0:01:43,10/12/2018 0:01:46,103,106
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302805850,Prepare implements,Operator and Patient Preparation,10/12/2018 0:02:13,10/12/2018 0:02:53,133,173
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302877942,Hand washing,Operator and Patient Preparation,10/12/2018 0:02:59,10/12/2018 0:03:16,179,196
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302896626,Get in sterile clothes,Operator and Patient Preparation,10/12/2018 0:03:18,10/12/2018 0:05:22,198,322
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302968903,Prepare implements,Operator and Patient Preparation,10/12/2018 0:05:25,10/12/2018 0:05:48,325,348
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539302993494,Clean puncture area,Operator and Patient Preparation,10/12/2018 0:05:49,10/12/2018 0:06:11,349,371
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303014190,Drap puncture area,Operator and Patient Preparation,10/12/2018 0:06:16,10/12/2018 0:07:07,376,427
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303052220,Prepare implements,Operator and Patient Preparation,10/12/2018 0:07:11,10/12/2018 0:07:11,431,431
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303115836,Cover probe,Ultrasound Preparation,10/12/2018 0:08:47,10/12/2018 0:11:56,527,716
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303122361,Ultrasound configuration,Ultrasound Preparation,10/12/2018 0:08:57,10/12/2018 0:09:41,537,581
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303143614,Gel in probe,Ultrasound Preparation,10/12/2018 0:09:29,10/12/2018 0:09:33,569,573
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303258497,Put sterile gel,Ultrasound Preparation,10/12/2018 0:12:18,10/12/2018 0:12:41,738,761
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303297068,Position probe,Ultrasound Preparation,10/12/2018 0:12:57,10/12/2018 0:12:57,777,777
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303314509,Ultrasound configuration,Ultrasound Preparation,10/12/2018 0:13:14,10/12/2018 0:13:30,794,810
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303333994,Anatomic identification,Locate Structures,10/12/2018 0:13:33,10/12/2018 0:14:17,813,857
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303378476,Compression identification,Locate Structures,10/12/2018 0:14:18,10/12/2018 0:14:28,858,868
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303412787,Anesthetize,Venous puncture,10/12/2018 0:14:52,10/12/2018 0:15:03,892,903
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303434726,Position probe,Ultrasound Preparation,10/12/2018 0:15:14,10/12/2018 0:15:14,914,914
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303444915,Puncture,Venous puncture,10/12/2018 0:15:24,10/12/2018 0:16:23,924,983
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303504442,Blood return,Venous puncture,10/12/2018 0:16:24,10/12/2018 0:16:24,984,984
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303507533,Drop probe,Install Guidewire,10/12/2018 0:16:27,10/12/2018 0:16:27,987,987
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303519455,Remove syringe,Install Guidewire,10/12/2018 0:16:39,10/12/2018 0:16:59,999,1019
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303547110,Guidewire install,Install Guidewire,10/12/2018 0:17:07,10/12/2018 0:18:33,1027,1113
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303635957,Remove trocar,Install Guidewire,10/12/2018 0:18:35,10/12/2018 0:18:42,1115,1122
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303655106,Widen pathway,Install Catheter,10/12/2018 0:18:55,10/12/2018 0:19:07,1135,1147
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303671467,Advance catheter,Install Catheter,10/12/2018 0:19:11,10/12/2018 0:20:46,1151,1246
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303804688,Remove guidewire,Install Catheter,10/12/2018 0:20:48,10/12/2018 0:20:48,1248,1248
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303809106,Check flow and reflow,Install Catheter,10/12/2018 0:20:55,10/12/2018 0:21:49,1255,1309
1539303857517-video_1.4_CVC,R_14_1D,Pre,1539303848844,Check catheter position,Install Catheter,10/12/2018 0:21:55,10/12/2018 0:21:55,1315,1315
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312093184,Prepare implements,Operator and Patient Preparation,10/12/2018 2:00:39,10/12/2018 2:00:58,39,58
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312113315,Get in sterile clothes,Operator and Patient Preparation,10/12/2018 2:01:00,10/12/2018 2:01:13,60,73
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312143582,Ultrasound configuration,Ultrasound Preparation,10/12/2018 2:01:30,10/12/2018 2:01:45,90,105
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312194813,Gel in probe,Ultrasound Preparation,10/12/2018 2:01:46,10/12/2018 2:01:58,106,118
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312261275,Ultrasound configuration,Ultrasound Preparation,10/12/2018 2:02:04,10/12/2018 2:02:23,124,143
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312285085,Hand washing,Operator and Patient Preparation,10/12/2018 2:02:28,10/12/2018 2:03:19,148,199
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312337967,Get in sterile clothes,Operator and Patient Preparation,10/12/2018 2:03:21,10/12/2018 2:04:59,201,299
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312473271,Prepare implements,Operator and Patient Preparation,10/12/2018 2:05:11,10/12/2018 2:05:34,311,334
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312497664,Clean puncture area,Operator and Patient Preparation,10/12/2018 2:05:36,10/12/2018 2:06:08,336,368
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312535691,Drap puncture area,Operator and Patient Preparation,10/12/2018 2:06:14,10/12/2018 2:06:50,374,410
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312581533,Prepare implements,Operator and Patient Preparation,10/12/2018 2:06:59,10/12/2018 2:09:22,419,562
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312729301,Cover probe,Ultrasound Preparation,10/12/2018 2:09:27,10/12/2018 2:10:51,567,651
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312796971,Put sterile gel,Ultrasound Preparation,10/12/2018 2:10:52,10/12/2018 2:10:56,652,656
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312810136,Position probe,Ultrasound Preparation,10/12/2018 2:11:05,10/12/2018 2:11:10,665,670
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312832080,Anatomic identification,Locate Structures,10/12/2018 2:11:27,10/12/2018 2:11:58,687,718
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312885431,Compression identification,Locate Structures,10/12/2018 2:12:21,10/12/2018 2:12:24,741,744
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312928081,Prepare implements,Operator and Patient Preparation,10/12/2018 2:12:47,10/12/2018 2:13:08,767,788
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312952092,Position probe,Ultrasound Preparation,10/12/2018 2:13:11,10/12/2018 2:13:11,791,791
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312960354,Anesthetize,Venous puncture,10/12/2018 2:13:19,10/12/2018 2:13:38,799,818
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539312990737,Puncture,Venous puncture,10/12/2018 2:13:49,10/12/2018 2:16:34,829,994
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313156624,Blood return,Venous puncture,10/12/2018 2:16:35,10/12/2018 2:16:35,995,995
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313162484,Drop probe,Install Guidewire,10/12/2018 2:16:41,10/12/2018 2:16:41,1001,1001
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313181623,Puncture,Venous puncture,10/12/2018 3:17:00,10/12/2018 3:18:00,1020,1080
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313243506,Blood return,Venous puncture,10/12/2018 3:18:02,10/12/2018 3:18:02,1082,1082
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313245146,Drop probe,Install Guidewire,10/12/2018 3:18:04,10/12/2018 3:18:04,1084,1084
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313349213,Guidewire install,Install Guidewire,10/12/2018 3:18:11,10/12/2018 3:18:46,1091,1126
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313506246,Position probe,Ultrasound Preparation,10/12/2018 3:19:28,10/12/2018 3:19:28,1168,1168
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313513561,Puncture,Venous puncture,10/12/2018 3:19:43,10/12/2018 3:20:27,1183,1227
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313571080,Blood return,Venous puncture,10/12/2018 3:20:29,10/12/2018 3:20:29,1229,1229
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313574120,Drop probe,Install Guidewire,10/12/2018 3:20:32,10/12/2018 3:20:32,1232,1232
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313575372,Remove syringe,Install Guidewire,10/12/2018 3:20:34,10/12/2018 3:20:34,1234,1234
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313578768,Guidewire install,Install Guidewire,10/12/2018 3:20:37,10/12/2018 3:21:50,1237,1310
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313640635,Remove trocar,Install Guidewire,10/12/2018 3:21:56,10/12/2018 3:22:06,1316,1326
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313652843,Check wire in short axis,Install Guidewire,10/12/2018 3:22:14,10/12/2018 3:22:23,1334,1343
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313660241,Check wire in long axis,Install Guidewire,10/12/2018 3:22:25,10/12/2018 3:22:33,1345,1353
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313667321,Wire in good position,Install Guidewire,10/12/2018 3:22:36,10/12/2018 3:22:36,1356,1356
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313673258,Widen pathway,Install Catheter,10/12/2018 3:22:44,10/12/2018 3:23:17,1364,1397
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313699234,Advance catheter,Install Catheter,10/12/2018 3:23:23,10/12/2018 3:25:51,1403,1551
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313852977,Check wire in short axis,Install Guidewire,10/12/2018 3:26:08,10/12/2018 3:26:13,1568,1573
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313858822,Check wire in long axis,Install Guidewire,10/12/2018 3:26:14,10/12/2018 3:26:57,1574,1617
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313944800,Remove guidewire,Install Catheter,10/12/2018 3:27:01,10/12/2018 3:27:01,1621,1621
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313973177,Position probe,Ultrasound Preparation,10/12/2018 3:27:30,10/12/2018 3:27:30,1650,1650
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539313991033,Puncture,Venous puncture,10/12/2018 3:27:48,10/12/2018 3:28:57,1668,1737
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314062536,Blood return,Venous puncture,10/12/2018 3:28:59,10/12/2018 3:28:59,1739,1739
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314064290,Drop probe,Install Guidewire,10/12/2018 3:29:01,10/12/2018 3:29:01,1741,1741
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314067538,Remove syringe,Install Guidewire,10/12/2018 3:29:04,10/12/2018 3:29:04,1744,1744
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314071115,Guidewire install,Install Guidewire,10/12/2018 3:29:08,10/12/2018 3:29:28,1748,1768
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314093536,Check wire in short axis,Install Guidewire,10/12/2018 3:29:30,10/12/2018 3:29:32,1770,1772
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314097849,Check wire in long axis,Install Guidewire,10/12/2018 3:29:34,10/12/2018 3:30:10,1774,1810
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314141742,Remove trocar,Install Guidewire,10/12/2018 3:30:18,10/12/2018 3:30:21,1818,1821
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314148649,Check wire in long axis,Install Guidewire,10/12/2018 3:30:25,10/12/2018 3:31:04,1825,1864
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314197043,Check wire in short axis,Install Guidewire,10/12/2018 3:31:14,10/12/2018 3:31:51,1874,1911
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314237290,Check wire in long axis,Install Guidewire,10/12/2018 3:31:54,10/12/2018 3:32:01,1914,1921
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314270794,Advance catheter,Install Catheter,10/12/2018 3:32:27,10/12/2018 3:33:41,1947,2021
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314348285,Check wire in short axis,Install Guidewire,10/12/2018 3:33:45,10/12/2018 3:33:59,2025,2039
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314363338,Check wire in long axis,Install Guidewire,10/12/2018 3:34:00,10/12/2018 3:34:01,2040,2041
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314369788,Advance catheter,Install Catheter,10/12/2018 3:34:06,10/12/2018 3:34:14,2046,2054
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314378289,Remove guidewire,Install Catheter,10/12/2018 3:34:15,10/12/2018 3:34:15,2055,2055
1539314415211-video_2.1_CVC,R_21_1F,Pre,1539314385290,Check flow and reflow,Install Catheter,10/12/2018 3:34:22,10/12/2018 3:34:37,2062,2077
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539314781034,Prepare implements,Operator and Patient Preparation,10/12/2018 3:01:21,10/12/2018 3:02:05,81,125
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539314820153,Ultrasound configuration,Ultrasound Preparation,10/12/2018 3:02:12,10/12/2018 3:02:55,132,175
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539314889315,Position patient,Locate Structures,10/12/2018 3:03:22,10/12/2018 3:03:29,202,209
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539314920863,Hand washing,Operator and Patient Preparation,10/12/2018 3:03:53,10/12/2018 3:05:05,233,305
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539314983804,Get in sterile clothes,Operator and Patient Preparation,10/12/2018 3:05:07,10/12/2018 3:06:42,307,402
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315036302,Prepare implements,Operator and Patient Preparation,10/12/2018 3:06:49,10/12/2018 3:07:12,409,432
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315071975,Clean puncture area,Operator and Patient Preparation,10/12/2018 3:07:07,10/12/2018 3:07:26,427,446
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315096634,Prepare implements,Operator and Patient Preparation,10/12/2018 3:07:33,10/12/2018 3:08:09,453,489
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315135824,Anesthetize,Venous puncture,10/12/2018 3:08:13,10/12/2018 3:08:18,493,498
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315146748,Drap puncture area,Operator and Patient Preparation,10/12/2018 3:08:23,10/12/2018 3:08:57,503,537
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315187320,Prepare implements,Operator and Patient Preparation,10/12/2018 3:09:04,10/12/2018 3:10:37,544,637
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315263188,Gel in probe,Ultrasound Preparation,10/12/2018 3:10:20,10/12/2018 3:10:28,620,628
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315285826,Cover probe,Ultrasound Preparation,10/12/2018 3:10:42,10/12/2018 3:13:30,642,810
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315470121,Put sterile gel,Ultrasound Preparation,10/12/2018 3:13:47,10/12/2018 3:13:55,827,835
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315510894,Prepare implements,Operator and Patient Preparation,10/12/2018 3:14:27,10/12/2018 3:15:34,867,934
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315609856,Anesthetize,Venous puncture,10/12/2018 3:16:06,10/12/2018 3:16:11,966,971
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315653463,Prepare implements,Operator and Patient Preparation,10/12/2018 3:16:12,10/12/2018 3:17:10,972,1030
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315717840,Put sterile gel,Ultrasound Preparation,10/12/2018 3:17:17,10/12/2018 3:17:21,1037,1041
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315778330,Position probe,Ultrasound Preparation,10/12/2018 3:17:33,10/12/2018 3:17:33,1053,1053
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315787779,Anatomic identification,Locate Structures,10/12/2018 3:17:43,10/12/2018 3:17:43,1063,1063
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315791982,Ultrasound configuration,Ultrasound Preparation,10/12/2018 3:17:47,10/12/2018 3:18:46,1067,1126
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315853307,Anatomic identification,Locate Structures,10/12/2018 3:18:48,10/12/2018 3:19:10,1128,1150
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315875646,Compression identification,Locate Structures,10/12/2018 3:19:11,10/12/2018 3:19:21,1151,1161
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539315887012,Doppler identification,Locate Structures,10/12/2018 3:19:22,10/12/2018 3:19:44,1162,1184
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316068443,Puncture,Venous puncture,10/12/2018 3:20:33,10/12/2018 3:21:38,1233,1298
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316134266,Blood return,Venous puncture,10/12/2018 3:21:39,10/12/2018 3:21:39,1299,1299
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316136552,Drop probe,Install Guidewire,10/12/2018 3:21:41,10/12/2018 3:21:41,1301,1301
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316140764,Remove syringe,Install Guidewire,10/12/2018 3:21:45,10/12/2018 3:21:45,1305,1305
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316147172,Guidewire install,Install Guidewire,10/12/2018 3:21:52,10/12/2018 3:22:54,1312,1374
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316210767,Remove trocar,Install Guidewire,10/12/2018 3:22:55,10/12/2018 3:22:55,1375,1375
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316222622,Widen pathway,Install Catheter,10/12/2018 3:23:07,10/12/2018 3:23:29,1387,1409
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316247735,Advance catheter,Install Catheter,10/12/2018 3:23:32,10/12/2018 3:24:37,1412,1477
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316309767,Remove guidewire,Install Catheter,10/12/2018 3:24:34,10/12/2018 3:24:34,1474,1474
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316327078,Check flow and reflow,Install Catheter,10/12/2018 3:24:52,10/12/2018 3:25:48,1492,1548
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316399805,Position probe,Ultrasound Preparation,10/12/2018 3:26:04,10/12/2018 3:26:04,1564,1564
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316409960,Anatomic identification,Locate Structures,10/12/2018 3:26:15,10/12/2018 3:26:15,1575,1575
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316442527,Puncture,Venous puncture,10/12/2018 3:26:47,10/12/2018 3:27:29,1607,1649
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316485661,Blood return,Venous puncture,10/12/2018 3:27:30,10/12/2018 3:27:30,1650,1650
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316487082,Drop probe,Install Guidewire,10/12/2018 3:27:32,10/12/2018 3:27:32,1652,1652
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316499159,Remove syringe,Install Guidewire,10/12/2018 3:27:44,10/12/2018 3:27:44,1664,1664
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316500693,Guidewire install,Install Guidewire,10/12/2018 3:27:45,10/12/2018 3:29:47,1665,1787
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316623977,Remove trocar,Install Guidewire,10/12/2018 3:29:49,10/12/2018 3:29:49,1789,1789
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316633530,Check wire in short axis,Install Guidewire,10/12/2018 3:29:58,10/12/2018 3:30:05,1798,1805
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316641054,Check wire in long axis,Install Guidewire,10/12/2018 3:30:06,10/12/2018 3:30:50,1806,1850
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316750289,Widen pathway,Install Catheter,10/12/2018 3:31:19,10/12/2018 3:31:22,1879,1882
1539316889981-video_3.1_CVC,R_31_1G,Pre,1539316753797,Advance catheter,Install Catheter,10/12/2018 4:31:23,10/12/2018 4:33:26,1883,2006
1539734942389-video_3.2_CVC,R_32_1H,Pre,1539733614361,Get in sterile clothes,Operator and Patient Preparation,10/16/2018 23:01:19,10/16/2018 23:01:25,79,85
1539734942389-video_3.2_CVC,R_32_1H,Pre,1539733621135,Hand washing,Operator and Patient Preparation,10/16/2018 23:01:26,10/16/2018 23:03:10,86,190
1539734942389-video_3.2_CVC,R_32_1H,Pre,1539733750863,Get in sterile clothes,Operator and Patient Preparation,10/16/2018 23:03:36,10/16/2018 23:05:25,216,325
